"id","name","pitches","rv_tot","pct_tot","rv_11","pct_11","rv_12","pct_12","rv_13","pct_13","rv_14","pct_14","rv_16","pct_16","rv_17","pct_17","rv_18","pct_18","rv_19","pct_19"
676439,"Feduccia, Hunter",2791,2.5532698416899513,0.470935960591133,1,0.17105263157894737,1,0.6580645161290323,0,0.125,0,0.6049382716049383,-1,0.5588235294117647,1,0.31645569620253167,1,0.5343915343915344,0,0.19767441860465115
620443,"Torrens, Luis",3645,5.108274064588804,0.4857142857142857,1,0.22429906542056074,0,0.6417112299465241,0,0.19318181818181818,2,0.5609756097560976,0,0.6031746031746031,1,0.33980582524271846,1,0.5708154506437768,-1,0.19444444444444445
657136,"Wong, Connor",2280,-3.409446984440004,0.43458980044345896,0,0.23214285714285715,-1,0.5398230088495575,-1,0.1076923076923077,-1,0.5121951219512195,1,0.6111111111111112,0,0.22033898305084745,0,0.5105263157894737,0,0.1935483870967742
669257,"Smith, Will",3150,-0.9027516771271165,0.49101796407185627,-1,0.208,1,0.6392405063291139,0,0.288135593220339,-1,0.5621890547263682,1,0.6306306306306306,0,0.2972972972972973,-1,0.5933014354066986,0,0.256198347107438
680777,"Jeffers, Ryan",2475,0.9108533923017277,0.4671280276816609,0,0.20202020202020202,2,0.6381578947368421,0,0.2727272727272727,1,0.5860215053763441,-1,0.5384615384615384,0,0.3137254901960784,0,0.4968152866242038,0,0.22972972972972974
663743,"Fortes, Nick",3851,-0.7459556379078733,0.484375,-1,0.10784313725490197,-2,0.569060773480663,-1,0.2,3,0.6075471698113207,-2,0.5384615384615384,1,0.3620689655172414,3,0.5970149253731343,0,0.2777777777777778
592663,"Realmuto, J.T.",5000,-0.17408749666894918,0.47669256381798003,0,0.25,0,0.6210526315789474,-1,0.13131313131313133,2,0.5790960451977402,-2,0.5551948051948052,1,0.3954802259887006,-2,0.5482233502538071,-1,0.22560975609756098
666023,"Fermin, Freddy",3541,1.5103583250874208,0.4572317262830482,0,0.16037735849056603,-1,0.515527950310559,0,0.29850746268656714,0,0.5318181818181819,1,0.6597510373443983,1,0.3246753246753247,0,0.49814126394052044,1,0.22758620689655173
668939,"Rutschman, Adley",3710,5.023708658763248,0.4610143830431491,0,0.2047244094488189,2,0.6282722513089005,0,0.27586206896551724,1,0.537117903930131,2,0.5897435897435898,0,0.23469387755102042,-1,0.5118110236220472,0,0.25384615384615383
694212,"Basallo, Samuel",3139,-3.5226316897693564,0.43859649122807015,0,0.18181818181818182,0,0.6089385474860335,0,0.2236842105263158,-2,0.46261682242990654,1,0.6580310880829016,0,0.2676056338028169,-2,0.4225352112676056,0,0.2169811320754717
